"Katalog","Kodiersystem","Kode","P-Code1","P-Code2","P-Code3","Text1","Text2","Text3","Text4","Text5","Text6","DatumGueltigkeit","ADV16_Int"
"016","000","0813437","SA130370009",,"S.Etterbeek","Salmonella Etterbeek",,,,,,"20071127",813437
"016","000","0813438","SA130740009",,"S.Euston","Salmonella Euston",,,,,,"20071127",813438
"016","000","0813439","SA091230009",,"S.Everleigh","Salmonella Everleigh",,,,,,"20071127",813439
"016","000","0813440","SA210190009",,"S.Ezra","Salmonella Ezra",,,,,,"20071127",813440
"016","000","0813441","SA210930009",,"S.Fairfield","Salmonella Fairfield",,,,,,"20071127",813441
"016","000","0813442","SA210740009",,"S.Fajara","Salmonella Fajara",,,,,,"20071127",813442
"016","000","0813443","SA281240009",,"S.Faji","Salmonella Faji",,,,,,"20071127",813443
"016","000","0813444","SA090161009",,"S.Falkensee O:10-,15+","Salmonella Falkensee O:10-,15+",,,,,,"20071127",813444
"016","000","0813445","SA090570009",,"S.Fallowfield","Salmonella Fallowfield",,,,,,"20071127",813445
"016","000","0813446","SA130210009",,"S.Fann","Salmonella Fann",,,,,,"20071127",813446
"016","000","0813447","SA140250009",,"S.Fanti","Salmonella Fanti",,,,,,"20071127",813447
"016","000","0813448","SA210770009",,"S.Farakan","Salmonella Farakan",,,,,,"20071127",813448
"016","000","0813449","SA280410009",,"S.Farcha","Salmonella Farcha",,,,,,"20071127",813449
"016","000","0813450","SA120480009",,"S.Fareham","Salmonella Fareham",,,,,,"20071127",813450
