"osm_id","ort","plz","bundesland","PLZ_Int"
29823,"Au in der Hallertau","84072","Bayern",84072
556088,"Aukrug","24613","Schleswig-Holstein",24613
2808122,"Aulendorf","88326","Baden-Württemberg",88326
537134,"Aull","65582","Rheinland-Pfalz",65582
2783122,"Auma-Weidatal","07955","Thüringen",7955
324694,"Aumühle","21521","Schleswig-Holstein",21521
383696,"Aura a.d.Saale","97717","Bayern",97717
534187,"Aurach","91589","Bayern",91589
1016525,"Aurachtal","91086","Bayern",91086
349932,"Aura im Sinngrund","97773","Bayern",97773
898628,"Aurich","26603","Niedersachsen",26603
898628,"Aurich","26605","Niedersachsen",26605
898628,"Aurich","26607","Niedersachsen",26607
1149284,"Ausacker","24975","Schleswig-Holstein",24975
1286666,"Ausleben","39393","Sachsen-Anhalt",39393
959813,"Außernzell","94532","Bayern",94532
450514,"Auufer","25548","Schleswig-Holstein",25548
1162782,"Auw an der Kyll","54664","Rheinland-Pfalz",54664
1108037,"Auw bei Prüm","54597","Rheinland-Pfalz",54597
1418654,"Aventoft","25927","Schleswig-Holstein",25927
938073,"Averlak","25715","Schleswig-Holstein",25715
904552,"Axstedt","27729","Niedersachsen",27729
539953,"Aying","85653","Bayern",85653
1256023,"Ayl","54441","Rheinland-Pfalz",54441
443333,"Aystetten","86482","Bayern",86482
1437797,"Baabe","18586","Mecklenburg-Vorpommern",18586
161965,"Baar","86674","Bayern",86674
548035,"Baar","56729","Rheinland-Pfalz",56729
387301,"Baar-Ebenhausen","85107","Bayern",85107
452387,"Babenhausen","64832","Hessen",64832
958621,"Babenhausen","87727","Bayern",87727
2186910,"Babensham","83547","Bayern",83547
966624,"Bach an der Donau","93090","Bayern",93090
1239652,"Bacharach","55422","Rheinland-Pfalz",55422
418891,"Bachenberg","57610","Rheinland-Pfalz",57610
1273185,"Bachfeld","96528","Thüringen",96528
955236,"Bachhagel","89429","Bayern",89429
956749,"Bächingen a.d.Brenz","89431","Bayern",89431
165637,"Backnang","71522","Baden-Württemberg",71522
956650,"Bad Abbach","93077","Bayern",93077
2186911,"Bad Aibling","83043","Bayern",83043
1022866,"Bad Alexandersbad","95680","Bayern",95680
162356,"Bad Arolsen","34454","Hessen",34454
937778,"Bad Bayersoien","82435","Bayern",82435
1130288,"Bad Bellingen","79415","Baden-Württemberg",79415
540424,"Bad Belzig","14806","Brandenburg",14806
